Date,Name,IP,Ring,Type,VFE,Status,Disconnections,ACM_profile,Most_Robust_Profile,Synch
05/11/2014,4264_ZEA_11,172.24.243.210,302.XMS.LR1,FP Hub 800,,Online,0,,,
05/11/2014,0022_ZEA_11,172.24.241.198,302.XMS.LR1,FP Hub 800,,Online,2,,,
05/11/2014,82534_ZEA_11,172.24.243.194,302.XMS.LR1,FP Hub 800,,Disabled,0,,,
05/11/2014,0022_ZEA_12,172.24.241.199,302.XMS.LR1,FP Hub 800,,Online,0,,,
05/11/2014,0056_ZBP_22,10.232.9.4,302.XMS.LR1,SRAL XD,VFE50653,Online,0,,,
05/11/2014,4264_ZC_12,172.24.243.212,302.XMS.LR1,FP Radio,VFE20113,Online,0,,,
05/11/2014,0056_ZBP_21,10.232.9.2,302.XMS.LR1,SRAL XD,VFE14277,Online,0,,,
05/11/2014,4264_ZC_11,172.24.243.211,302.XMS.LR1,FP Radio,VFE20113,Online,20,,,
05/11/2014,6695_ZBP_22,10.232.8.228,302.XMS.LR1,SRAL XD,VFE10940,Online,0,,,
05/11/2014,11736_ZBP_21,10.232.10.66,302.XMS.LR1,SRAL XD,VFE08222,Online,0,,,
05/11/2014,0056_ZC_12,10.232.9.11,302.XMS.LR1,FP Radio,VFE31151,Online,0,,,
05/11/2014,0056_ZC_11,10.232.9.10,302.XMS.LR1,FP Radio,VFE31151,Online,0,,,
05/11/2014,0022_ZA_22,10.232.8.10,302.XMS.LR1,FlexiMetro,VFE50049,Online,0,,,
05/11/2014,0022_ZA_21,10.232.8.8,302.XMS.LR1,FlexiMetro,VFE24002,Online,0,,,
05/11/2014,0576_ZBP_21,10.232.9.66,302.XMS.LR1,SRAL XD,VFE10940,Online,0,,,
05/11/2014,82534_ZD_12,172.24.243.196,302.XMS.LR1,FP MultiRadio,VFE20276,Disabled,0,,,
05/11/2014,4264_ZD_13,172.24.243.213,302.XMS.LR1,FP MultiRadio,VFE65662,Disabled,0,,,
05/11/2014,82534_ZD_11,172.24.243.195,302.XMS.LR1,FP MultiRadio,VFE20276,Disabled,0,,,
05/11/2014,88110_ZEA_11,172.24.243.204,302.XMS.LR1,FP Hub 800,,Disabled,0,,,
05/11/2014,82534_ZD_13,172.24.243.197,302.XMS.LR1,FP MultiRadio,VFE65663,Disabled,0,,,
05/11/2014,11496_ZBP_21,10.232.10.98,302.XMS.LR1,SRAL XD,VFE08183,Online,0,,,
05/11/2014,88110_ZD_11,172.24.243.205,302.XMS.LR1,FP MultiRadio,VFE65663,Disabled,0,,,
05/11/2014,37203_ZDA_11,10.232.9.6,302.XMS.LR1,FP Hub 2200,,Online,2,,,
05/11/2014,35077_ZC_13,172.24.243.202,302.XMS.LR1,FP Radio,VFE20113,Online,19,,,
05/11/2014,35077_ZC_14,172.24.243.203,302.XMS.LR1,FP Radio,VFE20113,Online,0,,,
05/11/2014,0022_ZBP_27,10.232.8.20,302.XMS.LR1,SRAL XD,VFE10092,Online,165,,,
05/11/2014,0022_ZBP_26,10.232.8.18,302.XMS.LR1,SRAL XD,VFE08183,Online,0,,,
05/11/2014,0022_ZBP_25,10.232.8.16,302.XMS.LR1,SRAL XD,VFE08222,Online,0,,,
05/11/2014,0022_ZBP_24,10.232.8.14,302.XMS.LR1,SRAL XD,VFE50560,Online,0,,,
05/11/2014,0056_ZDA_11,10.232.9.9,302.XMS.LR1,FP Hub 2200,,Online,0,,,
05/11/2014,0039_ZA_21,10.232.10.34,302.XMS.LR1,FlexiMetro,VFE50459,Online,0,,,
05/11/2014,0039_ZA_22,10.232.10.36,302.XMS.LR1,FlexiMetro,VFE24002,Online,0,,,
05/11/2014,0022_ZBP_23,10.232.8.12,302.XMS.LR1,SRAL XD,VFE14277,Online,31,,,
05/11/2014,0040_ZA_22,10.232.8.100,302.XMS.LR1,FlexiMetro,VFE7812,Online,0,,,
05/11/2014,35077_ZD_12,172.24.243.201,302.XMS.LR1,FP MultiRadio,VFE20276,Disabled,0,,,
05/11/2014,0040_ZA_21,10.232.8.98,302.XMS.LR1,FlexiMetro,VFE50049,Online,0,,,
05/11/2014,11735_ZBP_21,10.232.9.226,302.XMS.LR1,SRAL XD,,Online,0,,,
05/11/2014,35077__ZD_11,172.24.243.200,302.XMS.LR1,FP MultiRadio,VFE20276,Disabled,0,,,
05/11/2014,37203_ZC_12,10.232.9.8,302.XMS.LR1,FP Radio,VFE31151,Online,6,,,
05/11/2014,37203_ZC_11,10.232.9.7,302.XMS.LR1,FP Radio,VFE31151,Online,0,,,
05/11/2014,0431_ZA_23,10.232.8.30,302.XMS.LR1,FlexiMetro,VFE50457,Online,0,,,
05/11/2014,88108_ZEA_11,172.24.243.206,302.XMS.LR1,FP Hub 800,,Disabled,0,,,
05/11/2014,1220_ZA_23,10.232.10.162,302.XMS.LR1,FlexiMetro,VFE50457,Online,0,,,
05/11/2014,88108_ZD_11,172.24.243.207,302.XMS.LR1,FP MultiRadio,VFE65662,Disabled,0,,,
05/11/2014,8144_ZBP_21,10.232.9.162,302.XMS.LR1,SRAL XD,VFE10092,Online,0,,,
05/11/2014,0571_ZBP_21,10.232.9.34,302.XMS.LR1,SRAL XD,VFE50560,Online,0,,,
05/11/2014,1220_ZA_24,10.232.10.164,302.XMS.LR1,FlexiMetro,VFE50459,Online,0,,,
05/11/2014,1889_ZA_21,10.232.10.2,302.XMS.LR1,FlexiMetro,VFE7812,Online,0,,,
05/11/2014,35077_ZEA_11,172.24.243.198,302.XMS.LR1,FP Hub 800,,Online,0,,,
05/11/2014,35077_ZEA_12,172.24.243.199,302.XMS.LR1,FP Hub 800,,Online,0,,,
